gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
LIMK1	3984	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MAD2L1	4085	"Knockdown"	"Breast epithelial, Lung fibroblast"	"IMR-90, MCF-10A"	"No"	"Replicative"	"Inhibits"	"RNA interference of Mad2 (MAD2L1) induced aneuploidy and premature cellular senescence in human lung fibroblasts. These displayed typical features of senescent cells, including increased SA-beta-galactosidase expression, along with up-regulation of p53, p14 and p21."	"RNA interference of Mad2 (MAD2L1) induced aneuploidy and premature cellular senescence in human lung fibroblasts. These displayed typical features of senescent cells, including increased SA-beta-galactosidase expression, along with up-regulation of p53, p14 and p21."
MAGEA2	4101	"Overexpression"	"Foreskin fibroblast"	"BJ"	"No"	"Oncogene-induced"	"Inhibits"	"Overexpression of MAGEA2 inhibited ras-induced cellular senescence and increased proliferation in human foreskin fibroblasts."	"Overexpression of MAGEA2 inhibited ras-induced cellular senescence and increased proliferation in human foreskin fibroblasts."
MAGOH	4116	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Stress-induced, Replicative"	"Inhibits"	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."
MAGOHB	55110	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative, Stress-induced"	"Inhibits"	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."
MAP2K1	5604	"Overexpression"	"Intestinal epithelial"	"HIEC-6"	"No"	"Replicative"	"Promotes"	"Constitutive expression of MEK1 (MAP2K1) caused cells to stop proliferating and become arrested in the G0/G1 phase. This was accompanied by a flatter and enlarged cell morphology, an increase in SA-beta-galactosidase activity and an increase in cellular senescence markers, including p21, p16 and p53."	"Constitutive expression of MEK1 (MAP2K1) caused cells to stop proliferating and become arrested in the G0/G1 phase. This was accompanied by a flatter and enlarged cell morphology, an increase in SA-beta-galactosidase activity and an increase in cellular senescence markers, including p21, p16 and p53."
MAP2K2	5605	"Overexpression"	"Lung fibroblast"	"IMR-90"	"No"	"Oncogene-induced"	"Promotes"	"Activated MEK (MAP2K2) caused cell cycle arrest, a dramatic reduction in BrdU incorporation, altered expression of cell-cycle proteins, upregulation of senescence markers p53, p16, and p21, and increased SA-beta-galactosidase activity. MEK-arrested cells did not exhibit senescent morphological changes and instead kept a small and refractile morphology."	"Activated MEK (MAP2K2) caused cell cycle arrest, a dramatic reduction in BrdU incorporation, altered expression of cell-cycle proteins, upregulation of senescence markers p53, p16, and p21, and increased SA-beta-galactosidase activity. MEK-arrested cells did not exhibit senescent morphological changes and instead kept a small and refractile morphology."
MAP2K3	5606	"Knockdown"	"Retinal pigment epithelial, Embryonic kidney"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP2K3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP2K3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
MAP2K6	5608	"Overexpression"	"Osteosarcoma"	"U2OS"	"Yes"	"Replicative"	"Promotes"	"Expression of activated MKK6 (MAP2K6) induced morphological, biochemical, and genetic markers of cellular senescence, including permanent cell cycle arrest, up-regulation of p21, increased SA-beta-galactosidase activity, and lipofuscin-associated autofluorescence."	"Expression of activated MKK6 (MAP2K6) induced morphological, biochemical, and genetic markers of cellular senescence, including permanent cell cycle arrest, up-regulation of p21, increased SA-beta-galactosidase activity, and lipofuscin-associated autofluorescence."
MAP2K7	5609	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MAP3K6	9064	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MAP3K7	6885	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MAP4K1	11184	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP4K1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16  expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MAP4K1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16  expression."
MAPK12	6300	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
